measure,location,sex,age,metric,year,val,upper,lower
Population,Canada,Both,15-49 years,Number,2014,16090247.914888566,17373841.623575535,14815874.175912164
Population,Canada,Male,15-49 years,Number,2015,8014618.570998925,8562298.181585353,7444566.631919446
Population,Canada,Female,15-49 years,Number,2015,8076687.921791296,8628609.046502218,7502221.205706132
Population,Canada,Both,15-49 years,Number,2015,16091306.492790222,17190907.22808757,14946787.837625578
Population,Canada,Male,15-49 years,Number,2016,8041435.741070569,8568710.646024667,7501115.811336964
Population,Canada,Female,15-49 years,Number,2016,8091412.17222893,8621964.019116964,7547734.22750381
Population,Canada,Both,15-49 years,Number,2016,16132847.9132995,17190674.66514163,15048850.038840776
Population,Canada,Male,15-49 years,Number,2017,8089402.197902226,8674040.855325429,7486348.121333929
Population,Canada,Female,15-49 years,Number,2017,8123672.501725241,8710787.94840016,7518063.620003226
Population,Canada,Both,15-49 years,Number,2017,16213074.699627466,17384828.80372559,15004411.741337154
Population,Canada,Male,15-49 years,Number,2018,8147704.653829211,8763484.073744506,7460549.888089053
Population,Canada,Female,15-49 years,Number,2018,8163610.790083249,8780592.348732302,7475114.545019054
Population,Canada,Both,15-49 years,Number,2018,16311315.443912461,17544076.42247681,14935664.433108104
Population,Canada,Male,15-49 years,Number,2019,8212653.984956355,8856035.455244945,7546623.886910785
Population,Canada,Female,15-49 years,Number,2019,8207791.930170604,8850792.505810231,7542156.135212878
Population,Canada,Both,15-49 years,Number,2019,16420445.915126959,17706827.961055174,15088780.022123663
Population,Canada,Male,15-49 years,Number,2020,8276548.26389837,8890362.41052783,7665325.19400167
Population,Canada,Female,15-49 years,Number,2020,8250790.481439617,8862694.35209957,7641469.623717145
Population,Canada,Both,15-49 years,Number,2020,16527338.745337987,17753056.7626274,15306794.817718815
Population,Canada,Male,15-49 years,Number,2021,8341385.724507705,8942257.483446443,7803001.58265525
Population,Canada,Female,15-49 years,Number,2021,8293930.129750992,8891383.424703684,7758608.948958367
Population,Canada,Both,15-49 years,Number,2021,16635315.854258697,17833640.908150125,15561610.531613618
